Country,state,route,year,month,day,Obs,TotalSpp,StartTemp,EndTemp,TempScale,StartWind,EndWind,StartSky,EndSky,StartTime,EndTime,assistant,RunType
840,53,097,2016,6,18,       1120291,55,36,66,F,0,3,0,0,0515,1004,1,1
840,53,097,2017,6,21,       1120291,50,44,67,F,0,2,0,0,0514,0954,1,1
840,53,097,2018,6,3,       1120291,49,34,66,F,0,1,0,0,0514,1012,1,1
840,53,097,2019,6,25,       1120291,50,36,58,F,0,1,1,1,0514,1009,1,1
840,53,101,1995,6,19,       1000315,38,52,70,F,0,0,1,1,0505,1126,0,1
840,53,101,1998,6,14,       1000315,46,56,65,F,1,0,2,1,0500,0952,0,1
840,53,101,1999,6,17,       1000315,48,60,74,F,1,0,0,0,0500,1042,0,1
840,53,101,2000,6,16,       1000315,53,49,60,F,0,0,0,0,0509,1035,0,1
840,53,101,2001,6,18,       1000315,50,51,61,F,2,2,0,1,0508,1010,0,1
840,53,101,2002,6,15,       1000315,39,55,72,F,0,2,0,0,0501,1010,0,1
840,53,101,2003,6,16,       1000315,47,44,61,F,2,0,0,0,0500,0950,0,1
840,53,101,2004,6,22,       1090918,49,46,72,F,0,1,1,1,0515,1108,0,1
840,53,101,2005,6,24,       1090918,46,58,71,F,1,1,0,0,0519,1051,0,1
840,53,101,2006,6,22,       1090918,46,59,76,F,0,0,1,0,0509,1010,0,1
840,53,101,2008,6,23,       1090918,47,53,62,F,0,1,0,0,0507,0857,0,1
840,53,101,2011,7,1,       1090918,43,40,58,F,0,3,0,0,0519,0947,0,1
840,53,101,2014,7,5,       1040596,56,54,55,F,0,0,0,0,0509,1139,0,1
840,53,101,2015,6,10,       1040596,55,59,59,F,0,1,0,0,0509,1141,0,0
840,53,101,2016,6,23,       1040596,53,50,54,F,0,0,1,2,0509,1115,0,1
840,53,101,2017,6,23,       1040596,55,46,61,F,0,2,0,0,0509,1154,0,0
840,53,101,2018,6,28,       1040596,54,50,54,F,0,1,0,2,0509,1123,0,1
840,53,101,2019,6,19,       1040596,52,52,56,F,0,4,1,2,0509,1119,0,1
840,53,103,2009,6,25,       1030167,60,52,68,F,1,5,2,0,0501,0926,0,0
840,53,103,2010,6,15,       1030167,52,47,60,F,0,2,2,1,0501,0936,0,1
840,53,103,2011,6,27,       1030167,49,36,64,F,1,2,0,1,0501,0925,0,1
840,53,103,2012,6,21,       1030167,58,37,65,F,1,2,0,0,0501,0956,0,1
840,53,103,2013,6,11,       1030167,55,49,50,F,2,3,2,2,0501,0947,0,1
840,53,103,2014,6,22,       1030167,60,44,65,F,0,1,1,1,0501,0940,0,1
840,53,103,2015,6,18,       1030167,53,50,62,F,2,2,1,2,0501,1002,0,1
840,53,103,2016,6,27,       1030167,65,39,72,F,0,2,0,0,0501,1021,0,1
840,53,103,2017,6,25,       1030167,55,43,67,F,0,2,0,0,0501,0934,0,1
840,53,103,2018,6,23,        981456,53,56,64,F,2,2,2,2,0502,1059,1,1
840,53,103,2019,6,18,       1080710,52,57,64,F,3,2,1,1,0502,1052,0,1
840,53,137,1977,6,20,       1150110,52,48,63,F,0,2,2,1,0510,0956,0,1
840,53,137,1978,6,18,        980255,46,50,71,F,1,2,0,0,0510,1007,0,1
840,53,137,1979,6,27,        980255,47,63,75,F,3,1,2,0,0510,1008,0,1
840,53,137,1980,6,29,        980255,44,55,74,F,1,1,0,0,0510,0958,0,1
840,53,137,1981,6,27,        980255,46,59,75,F,2,0,1,0,0513,1125,0,1
840,53,137,1982,6,30,        980255,42,53,72,F,1,0,0,0,0513,1058,0,1
840,53,137,1983,7,3,        980255,45,48,59,F,3,2,2,2,0516,1131,0,1
840,53,137,1984,6,24,        980255,45,54,70,F,0,0,0,0,0510,1052,0,1
840,53,137,1986,6,15,        980255,42,46,68,F,0,2,1,1,0510,1013,0,1
840,53,137,1987,6,14,        980255,46,43,72,F,1,2,0,0,0510,1110,0,1
840,53,137,1988,6,21,        980255,40,63,70,F,0,0,2,0,0510,1003,0,1
840,53,137,1989,6,17,        980255,44,46,66,F,0,1,0,0,0510,1038,0,1
840,53,137,1990,6,22,        980255,41,50,73,F,0,0,0,0,0510,1043,0,1
840,53,137,1991,6,22,        980255,46,50,68,F,1,1,1,0,0510,1053,0,1
840,53,137,1992,6,4,        980255,48,45,70,F,0,0,0,0,0510,1040,0,1
840,53,137,1993,6,19,        980255,47,48,78,F,1,0,0,0,0510,1052,0,1
840,53,137,1994,6,24,        980255,43,57,79,F,0,0,0,0,0510,1050,0,1
840,53,137,1995,6,14,       1190432,41,54,77,F,1,1,1,1,0510,1054,0,1
840,53,137,1996,6,26,       1190432,50,57,78,F,2,1,2,1,0520,1303,0,0
840,53,137,1997,6,17,       1190432,42,45,70,F,1,2,1,1,0510,1220,1,0
840,53,137,2000,6,16,       1190432,53,35,68,F,2,2,2,2,0510,1245,0,0
840,53,137,2001,6,6,       1190432,54,42,69,F,1,3,2,1,0510,1229,0,0
840,53,137,2002,6,20,       1190432,52,41,72,F,1,3,0,1,0510,1202,1,0
840,53,137,2003,6,18,       1190432,50,53,87,F,0,0,0,1,0510,1208,0,0
840,53,137,2005,6,27,       1140541,63,45,55,F,2,3,1,1,0507,1010,0,1
840,53,137,2006,6,20,       1140541,60,49,60,F,1,1,1,1,0522,1030,0,1
840,53,137,2007,6,24,       1140541,66,45,58,F,3,2,1,1,0510,1052,0,1
840,53,137,2008,6,23,       1140541,67,47,65,F,2,1,2,1,0512,1054,0,1
840,53,137,2009,6,24,       1140541,63,40,65,F,3,0,0,0,0528,1030,0,1
840,53,137,2010,6,25,       1140541,63,48,68,F,2,2,2,1,0514,0905,0,1
840,53,137,2011,6,27,       1140541,54,58,65,F,2,0,0,0,0520,1022,0,1
840,53,137,2012,6,26,       1140541,56,45,61,F,2,2,0,0,0510,1006,0,1
840,53,137,2013,6,26,       1140541,59,57,65,F,2,1,2,2,0516,1001,0,1
840,53,137,2014,6,23,       1140541,60,48,64,F,1,1,0,1,0510,0915,0,1
840,53,137,2015,6,23,       1140541,60,55,68,F,2,0,1,1,0516,1044,1,1
840,53,137,2016,6,20,       1140541,58,57,71,F,2,1,2,1,0510,1015,0,1
840,53,137,2017,6,29,       1140541,65,45,64,F,0,0,0,1,0510,1020,0,1
840,53,137,2018,6,21,       1140541,53,50,60,F,1,2,2,2,0510,1018,0,1
840,53,137,2019,6,28,       1140541,52,55,64,F,3,2,2,2,0512,0945,0,1
840,53,138,1982,6,19,       1090207,43,47,55,F,0,0,0,0,0506,0855,0,1
840,53,138,1983,6,23,       1090207,48,50,57,F,0,0,0,0,0506,0926,0,1
840,53,138,1984,6,27,       1090207,52,60,63,F,1,1,1,2,0509,0913,0,1
