Country,State,Route,Year
840,53,97,1994
840,53,97,1995
840,53,97,1996
840,53,97,1998
840,53,97,1999
840,53,97,2000
840,53,97,2001
840,53,97,2002
840,53,97,2004
840,53,97,2005
840,53,97,2006
840,53,97,2007
840,53,97,2008
840,53,97,2009
840,53,97,2010
840,53,97,2011
840,53,97,2012
840,53,97,2013
840,53,97,2015
840,53,97,2016
840,53,97,2017
840,53,97,2018
840,53,97,2019
840,53,101,1995
840,53,101,1998
840,53,101,1999
840,53,101,2000
840,53,101,2001
840,53,101,2002
840,53,101,2003
840,53,101,2004
840,53,101,2005
840,53,101,2006
840,53,101,2008
840,53,101,2011
840,53,101,2014
840,53,101,2015
840,53,101,2016
840,53,101,2017
840,53,101,2018
840,53,101,2019
840,53,103,2009
840,53,103,2010
840,53,103,2011
840,53,103,2012
840,53,103,2013
840,53,103,2014
840,53,103,2015
840,53,103,2016
840,53,103,2017
840,53,103,2018
840,53,103,2019
840,53,137,1977
840,53,137,1978
840,53,137,1979
840,53,137,1980
840,53,137,1981
840,53,137,1982
840,53,137,1983
840,53,137,1984
840,53,137,1985
840,53,137,1986
840,53,137,1987
840,53,137,1988
840,53,137,1989
840,53,137,1990
840,53,137,1991
840,53,137,1992
840,53,137,1993
840,53,137,1994
840,53,137,1995
840,53,137,1996
840,53,137,1997
840,53,137,2000
840,53,137,2001
840,53,137,2002
840,53,137,2003
840,53,137,2005
840,53,137,2006
840,53,137,2007
840,53,137,2008
840,53,137,2009
840,53,137,2010
840,53,137,2011
840,53,137,2012
840,53,137,2013
840,53,137,2014
840,53,137,2015
840,53,137,2016
840,53,137,2017
840,53,137,2018
840,53,137,2019
840,53,138,1982
840,53,138,1983
840,53,138,1984
840,53,138,1985
840,53,138,1986
840,53,138,1987
840,53,138,1988
840,53,138,1989
840,53,138,1990
840,53,138,1991
840,53,138,1992
840,53,138,1993
840,53,138,1994
840,53,138,1995
840,53,138,1996
840,53,138,1997
840,53,138,1998
840,53,138,1999
840,53,138,2000
840,53,138,2001
840,53,138,2002
840,53,138,2003
840,53,138,2004
840,53,138,2005
840,53,138,2006
840,53,138,2007
840,53,138,2008
840,53,138,2009
840,53,138,2010
840,53,138,2011
840,53,138,2012
840,53,138,2013
840,53,138,2014
840,53,138,2015
840,53,138,2016
840,53,138,2018
840,53,176,1999
840,53,176,2000
840,53,176,2001
840,53,176,2002
840,53,176,2003
840,53,176,2004
840,53,176,2005
840,53,176,2006
840,53,176,2007
840,53,176,2008
840,53,176,2010
840,53,176,2011
840,53,176,2012
840,53,176,2013
840,53,176,2014
840,53,176,2015
840,53,176,2016
840,53,176,2017
840,53,176,2018
840,53,176,2019
840,53,301,2016
840,53,301,2017
840,53,301,2018
840,53,301,2019
840,53,302,2015
840,53,302,2016
840,53,302,2017
840,53,302,2018
840,53,302,2019
840,53,303,2015
840,53,303,2016
840,53,303,2017
840,53,303,2018
840,53,303,2019
840,53,312,2015
840,53,312,2016
840,53,312,2017
840,53,312,2018
840,53,312,2019
840,53,313,2015
840,53,313,2016
840,53,313,2017
840,53,313,2019
840,53,315,2016
840,53,315,2017
840,53,315,2018
840,53,315,2019
840,53,322,2015
840,53,322,2016
840,53,322,2017
840,53,322,2018
840,53,322,2019
840,53,323,2015
840,53,323,2016
840,53,323,2017
840,53,323,2018
840,53,323,2019
840,53,324,2015
840,53,324,2016
840,53,325,2015
840,53,325,2016
840,53,325,2017
840,53,325,2018
840,53,325,2019
840,53,332,2015
840,53,332,2016
840,53,332,2018
840,53,332,2019
840,53,333,2017
840,53,333,2018
840,53,333,2019
840,53,334,2018
840,53,334,2019
840,53,336,2015
840,53,341,2017
840,53,341,2018
840,53,341,2019
840,53,424,2018
840,53,424,2019
840,53,800,1990
840,53,800,1991
840,53,800,1992
840,53,800,1993
840,53,800,1994
840,53,800,1995
840,53,800,1996
